ID,Name,Link,Location,Description,Created At,Updated At
31,Greater Pittsburgh Community Food Bank,https://www.pittsburghfoodbank.org,"1 N Linden St, Duquesne, PA 15110","The region's largest food bank, distributing millions of pounds of food annually through a network of pantries, soup kitchens, and other agencies. Offers direct distribution programs and mobile food pantries.",2025-11-08 16:38:05,2025-11-08 16:38:05
32,412 Food Rescue,https://412foodrescue.org,Various locations throughout Pittsburgh,Redirects perfectly good food from going to waste to people experiencing food insecurity. Partners with numerous nonprofits and uses an app to coordinate food rescue and distribution.,2025-11-08 16:38:05,2025-11-08 16:38:05
33,Jubilee Kitchen,https://www.jubileekitchen.org,"2005 Wyandotte St, Pittsburgh, PA 15219","Serves hot, nutritious meals three days a week (Monday, Tuesday, Thursday) from 4:30-6:00 PM. No questions asked, everyone is welcome.",2025-11-08 16:38:05,2025-11-08 16:38:05
34,East End Cooperative Ministry (EECM),https://www.eecm.org,"6140 Station St, Pittsburgh, PA 15206","Provides emergency food pantry services, community meals, and fresh produce distributions. Also accepts SNAP benefits at their Community House.",2025-11-08 16:38:05,2025-11-08 16:38:05
35,Light of Life Rescue Mission,https://www.lightoflife.org,"10 E North Ave, Pittsburgh, PA 15212","Serves three meals daily to anyone in need. Breakfast at 7 AM, lunch at noon, and dinner at 5 PM. Also provides emergency food boxes.",2025-11-08 16:38:05,2025-11-08 16:38:05
36,Community Kitchen Pittsburgh,https://www.communitykitchenpgh.org,"100 W Station Square Dr, Pittsburgh, PA 15219",Provides free hot meals Monday through Friday from 11:30 AM to 12:30 PM in Hazelwood. No registration or documentation required.,2025-11-08 16:38:05,2025-11-08 16:38:05
37,Bethlehem Haven,https://bethlehemhaven.org,"1410 Fifth Ave, Pittsburgh, PA 15219",Serves meals daily to women and children experiencing homelessness. Also provides emergency food bags and connects clients with SNAP benefits.,2025-11-08 16:38:05,2025-11-08 16:38:05
38,Shepherd's Heart Fellowship,https://shepherdsheartpittsburgh.org,"1919 State Ave, Coraopolis, PA 15108",Operates food pantry and veterans' food bank. Distributes food boxes twice monthly and provides hot meals on Saturdays.,2025-11-08 16:38:05,2025-11-08 16:38:05
39,North Hills Community Outreach,https://www.nhco.org,"1975 Ferguson Rd, Allison Park, PA 15101",Provides emergency and supplemental food assistance through three food pantries. Also offers fresh produce distributions and SNAP application assistance.,2025-11-08 16:38:05,2025-11-08 16:38:05
40,Wilkinsburg Community Ministry,https://www.wcm15221.org,"702 Wood St, Wilkinsburg, PA 15221",Operates emergency food pantry open Tuesday and Thursday. Provides 3-day emergency food supply and monthly supplemental groceries for registered clients.,2025-11-08 16:38:05,2025-11-08 16:38:05
41,South Hills Interfaith Movement (SHIM),https://www.shimcares.org,"5301 Park Ave, Bethel Park, PA 15102",Operates multiple food pantries and produces weekly food distributions. Offers choice pantry model allowing clients to select their own groceries.,2025-11-08 16:38:05,2025-11-08 16:38:05
42,Produce to People,https://www.producetopeoplepgh.org,Various locations in Pittsburgh,"Free monthly produce distributions at multiple sites including churches and community centers. No registration required, first-come, first-served basis.",2025-11-08 16:38:05,2025-11-08 16:38:05
43,St. Mary of Mercy Parish Food Pantry,https://www.stmaryofmercy.org,"202 Stanwix St, Pittsburgh, PA 15222",Downtown food pantry open Wednesdays from 10 AM to noon. Provides emergency food assistance and accepts referrals from social service agencies.,2025-11-08 16:38:05,2025-11-08 16:38:05
44,Garfield Community Farm,https://www.garfieldfarm.com,"416 Wicklow St, Pittsburgh, PA 15224",Offers free produce through their 'Grow Pittsburgh' program for low-income residents. Hosts weekly free farm stands during growing season.,2025-11-08 16:38:05,2025-11-08 16:38:05
45,Trinity Lutheran Church Food Pantry,https://www.trinitylutheranchurch.net,"616 W North Ave, Pittsburgh, PA 15212","Food pantry open Thursdays from 10 AM to noon. Serves North Side residents with emergency food assistance, no appointment needed.",2025-11-08 16:38:05,2025-11-08 16:38:05
46,Brookline Christian Food Bank,https://www.brooklinechristianfoodbank.org,"824 Brookline Blvd, Pittsburgh, PA 15226","Serves Brookline, Carrick, and Overbrook residents. Open Tuesdays and Thursdays, provides monthly food assistance to registered families.",2025-11-08 16:38:05,2025-11-08 16:38:05
47,Focus on Renewal,https://www.focusonrenewal.org,"2515 Bedford Ave, Pittsburgh, PA 15219","Operates food pantry in the Hill District, open Monday through Friday. Also provides hot meals and connects residents with SNAP enrollment assistance.",2025-11-08 16:38:05,2025-11-08 16:38:05
48,Squirrel Hill Food Pantry,https://www.shfoodpantry.org,"23 Murdoch Rd, Pittsburgh, PA 15241","Kosher food pantry serving all regardless of faith. Open Sundays and Wednesdays, provides supplemental groceries and fresh produce when available.",2025-11-08 16:38:05,2025-11-08 16:38:05
49,City Harvest Mobile Markets,https://www.cityharvest.org,Rotating locations in Pittsburgh neighborhoods,"Mobile food pantries that visit underserved neighborhoods weekly. Provides fresh produce, dairy, and shelf-stable items at no cost.",2025-11-08 16:38:05,2025-11-08 16:38:05
50,Just Harvest Fresh Access Program,https://www.justharvest.org/fresh-access,Various farmers markets in Pittsburgh,"Doubles SNAP benefits at participating farmers markets, allowing SNAP recipients to get $2 worth of fresh produce for every $1 in benefits spent.",2025-11-08 16:38:05,2025-11-08 16:38:05
